DATE,GDP
1947-01-01,249.6155000000000000
1948-01-01,274.4677500000000000
1949-01-01,272.4752500000000000
1950-01-01,299.8272500000000000
1951-01-01,346.9132500000000000
1952-01-01,367.3407500000000000
1953-01-01,389.2175000000000000
1954-01-01,390.5490000000000000
1955-01-01,425.4795000000000000
1956-01-01,449.3525000000000000
1957-01-01,474.0395000000000000
1958-01-01,481.2285000000000000
1959-01-01,521.6542500000000000
1960-01-01,542.3822500000000000
1961-01-01,562.2097500000000000
1962-01-01,603.9215000000000000
1963-01-01,637.4515000000000000
1964-01-01,684.4615000000000000
1965-01-01,742.2902500000000000
1966-01-01,813.4137500000000000
1967-01-01,859.9562500000000000
1968-01-01,940.6465000000000000
1969-01-01,1017.6150000000000000
1970-01-01,1073.3105000000000000
1971-01-01,1164.8497500000000000
1972-01-01,1279.1120000000000000
1973-01-01,1425.3760000000000000
1974-01-01,1545.2425000000000000
1975-01-01,1684.9050000000000000
1976-01-01,1873.4125000000000000
1977-01-01,2081.8250000000000000
1978-01-01,2351.5987500000000000
1979-01-01,2627.3262500000000000
1980-01-01,2857.3085000000000000
1981-01-01,3207.0412500000000000
1982-01-01,3343.7892500000000000
1983-01-01,3634.0365000000000000
1984-01-01,4037.6140000000000000
1985-01-01,4338.9805000000000000
1986-01-01,4579.6325000000000000
1987-01-01,4855.2162500000000000
1988-01-01,5236.4380000000000000
1989-01-01,5641.5795000000000000
1990-01-01,5963.1445000000000000
1991-01-01,6158.1292500000000000
1992-01-01,6520.3272500000000000
1993-01-01,6858.5585000000000000
1994-01-01,7287.2365000000000000
1995-01-01,7639.7492500000000000
1996-01-01,8073.1217500000000000
1997-01-01,8577.5525000000000000
1998-01-01,9062.8167500000000000
1999-01-01,9630.6625000000000000
2000-01-01,10252.3465000000000000
2001-01-01,10581.8222500000000000
2002-01-01,10936.4182500000000000
2003-01-01,11458.2457500000000000
2004-01-01,12213.7302500000000000
2005-01-01,13036.637000000000
2006-01-01,13814.609000000000
2007-01-01,14451.859000000000
2008-01-01,14712.845000000000
2009-01-01,14448.932500000000
2010-01-01,14992.052000000000
2011-01-01,15542.581750000000
2012-01-01,16197.007250000000
2013-01-01,16784.850500000000
2014-01-01,17527.258250000000
2015-01-01,18224.780250000000
2016-01-01,18715.040500000000
2017-01-01,19519.423500000000
2018-01-01,20580.223000000000
2019-01-01,21427.689500000000
2020-01-01,.
