"","year","Private Equity","Real Estate","Hedge Funds","Commodities","Other Alternatives","Public Equity","Fixed Income","Cash"
"1","2001",0.0347083168316832,0.0352630693069307,0.00275554455445545,0.00114960396039604,0.00930485148514851,0.557399306930693,0.342065247524752,0.0173548514851485
"2","2002",0.0338604854368932,0.0383797087378641,0.00158970873786408,0.00293854368932039,0.00849961165048544,0.545739902912621,0.353224854368932,0.0157679611650485
"3","2003",0.0344762857142857,0.0365708571428571,0.00339333333333333,0.0044967619047619,0.00964666666666667,0.565102666666667,0.327552857142857,0.0187613333333333
"4","2004",0.0316266346153846,0.0356551923076923,0.00329269230769231,0.00478942307692308,0.0110383653846154,0.599427884615385,0.295125096153846,0.0190447115384615
"5","2005",0.0335718518518519,0.0392612037037037,0.00537444444444444,0.00384703703703704,0.00961842592592593,0.59449,0.298908796296296,0.0149287962962963
"6","2006",0.0358696396396396,0.0438772072072072,0.0078690990990991,0.0038136036036036,0.00898405405405405,0.597902792792793,0.285800900900901,0.0158827027027027
"7","2007",0.0408178571428571,0.0476070535714286,0.0145797321428571,0.00287517857142857,0.0107389285714286,0.588742321428571,0.278165714285714,0.0164744642857143
"8","2008",0.0578850892857143,0.0589082142857143,0.02019,0.00561357142857143,0.0145675892857143,0.537548125,0.289208928571429,0.0160791964285714
"9","2009",0.0623705357142857,0.0566322321428571,0.0354748214285714,0.00636964285714286,0.0151850892857143,0.510366160714286,0.291225803571429,0.0223773214285714
"10","2010",0.0710418018018018,0.0527959459459459,0.0393126126126126,0.00902315315315315,0.0202310810810811,0.503375495495496,0.285561891891892,0.0186589189189189
"11","2011",0.0732227433628319,0.0584340707964602,0.0482011504424779,0.0128289380530973,0.0198371681415929,0.513163185840708,0.255099115044248,0.0192151327433628
"12","2012",0.0794881081081081,0.0674845945945946,0.0567803603603604,0.016814954954955,0.0195897297297297,0.48936018018018,0.252229279279279,0.0182533333333333
"13","2013",0.0770417117117117,0.0673048648648649,0.0629764864864865,0.0182220720720721,0.0199162162162162,0.502306036036036,0.232623333333333,0.0196093693693694
"14","2014",0.0764853153153153,0.0669784684684685,0.0743137837837838,0.0195097297297297,0.0190509009009009,0.500257927927928,0.223211801801802,0.0201927927927928
"15","2015",0.0780596396396396,0.0720315315315315,0.0768307207207207,0.0232287387387387,0.0186545945945946,0.486438378378378,0.226732432432432,0.0180253153153153
"16","2016",0.0811736936936937,0.0788867567567568,0.0754836936936937,0.0253021621621622,0.0217781081081081,0.47123981981982,0.229217207207207,0.0169201801801802
"17","2017",0.0799046017699115,0.0757884955752212,0.0712563716814159,0.0254725663716814,0.021507610619469,0.486127522123894,0.220782212389381,0.0191612389380531
"18","2018",0.084584649122807,0.0764266666666667,0.0694278070175439,0.0289541228070175,0.0234271052631579,0.470493771929825,0.228934210526316,0.0177524561403509
"19","2019",0.0871581578947368,0.0777252631578947,0.0669174561403509,0.0304895614035088,0.0229757894736842,0.462883333333333,0.230924912280702,0.0209264912280702
"20","2020",0.0935298230088496,0.0758416814159292,0.0667364601769912,0.0273204424778761,0.0250934513274336,0.456849469026549,0.231437876106195,0.0231917699115044
"21","2021",0.131787647044525,0.0695638532110092,0.0640518109497464,0.0248822018348624,0.0289947621892145,0.455732110091743,0.201978990825688,0.023008623853211
